Lambda,Displacement
0.0,0.0
5.0,0.032851311154804684
10.0,0.06570262230960937
15.0,0.09855393346441405
20.0,0.13140524461921874
25.0,0.16425655577402343
30.000000000000004,0.19710786692882815
35.0,0.2299591780836328
40.0,0.2628104892384375
45.0,0.29566180039324214
49.99999999999999,0.32851311154804685
54.99999999999999,0.36136442270285146
59.99999999999999,0.3942157338576562
64.99999999999999,0.42706704501246084
70.0,0.4599183561672655
75.0,0.49276966732207034
80.0,0.5256209784768751
85.0,0.5584722896316797
90.00000000000001,0.5913236007864845
95.00000000000001,0.6241749119412892
100.00000000000001,0.6570262230960938
105.00000000000003,0.6898775342508987
110.00000000000003,0.7227288454057033
115.00000000000003,0.755580156560508
120.00000000000004,0.7884314677153129
125.00000000000003,0.8212827788701172
130.00000000000003,0.8541340900249221
135.00000000000003,0.8869854011797267
140.00000000000003,0.9198367123345315
145.00000000000006,0.9526880234893363
150.00000000000006,0.9855393346441408
155.00000000000006,1.0183906457989453
160.00000000000006,1.0512419569537503
165.00000000000006,1.084093268108555
170.00000000000006,1.1169445792633599
175.00000000000006,1.1497958904181642
180.00000000000009,1.1826472015729692
185.00000000000009,1.2154985127277738
190.00000000000009,1.2483498238825783
195.00000000000009,1.281201135037383
200.00000000000009,1.3140524461921879
205.00000000000009,1.3469037573469926
210.0000000000001,1.3797550685017974
215.0000000000001,1.4126063796566022
220.0000000000001,1.4454576908114067
225.0000000000001,1.4783090019662115
230.0000000000001,1.5111603131210163
235.0000000000001,1.5440116242758208
240.0000000000001,1.5768629354306256
245.00000000000014,1.6097142465854306
250.0000000000001,1.642565557740235
255.0000000000001,1.6754168688950397
260.0000000000001,1.708268180049844
265.0000000000001,1.7411194912046486
270.0000000000001,1.7739708023594538
275.0000000000001,1.8068221135142588
280.0000000000001,1.839673424669063
285.0000000000001,1.8725247358238677
290.00000000000017,1.905376046978673
295.00000000000017,1.9382273581334777
300.00000000000017,1.9710786692882822
305.00000000000017,2.0039299804430875
310.00000000000017,2.0367812915978916
315.00000000000017,2.069632602752696
320.00000000000017,2.102483913907501
325.00000000000017,2.135335225062306
330.00000000000017,2.16818653621711
335.00000000000017,2.201037847371915
340.00000000000017,2.2338891585267198
345.00000000000017,2.2667404696815248
350.00000000000017,2.2995917808363293
355.0000000000002,2.3324430919911343
360.0000000000002,2.365294403145939
365.0000000000002,2.398145714300744
370.0000000000002,2.4309970254555484
375.0000000000002,2.463848336610353
380.0000000000002,2.4966996477651575
385.0000000000002,2.529555714775992
390.0000000000002,2.5626305927517072
395.0000000000002,2.5959736699658906
400.0000000000002,2.6300373788560942
405.0000000000002,2.664751296884842
410.0000000000002,2.7015452281131416
415.0000000000002,2.740263929675885
420.0000000000003,2.785311293403654
425.0000000000003,2.844589281531132
430.0000000000003,2.9313366441948054
435.0000000000003,3.0748344665297833
440.0000000000003,3.304952880208595
445.0000000000003,3.6907899391180465
450.0000000000003,4.238866915634551
455.0000000000003,5.016657421189443
460.0000000000003,6.020907084277348
465.0000000000003,7.136383169600275
470.0000000000003,8.28232739223036
475.0000000000003,9.4534859941161
480.0000000000003,10.673683785352807
485.0000000000003,11.912800401380363
490.00000000000034,13.158542969744813
495.00000000000034,14.415787413870499
500.00000000000034,15.68919402145234
